gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,2048,768,7168,opus,9000,0,90.9574,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,247.9,256.5,0.0
gfx950,256,4096,768,7168,opus,9000,0,90.4724,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,498.46,454.91,0.0
gfx950,256,6144,768,7168,opus,9000,0,91.3172,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,740.78,645.91,0.0
gfx950,256,8192,768,7168,opus,9000,0,93.0624,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,969.18,825.34,0.0
gfx950,256,10240,768,7168,opus,9000,0,95.1932,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1184.36,994.13,0.0
gfx950,256,12288,768,7168,opus,9000,0,98.733,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1370.28,1139.03,0.0
gfx950,256,14336,768,7168,opus,9000,0,102.3319,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1542.43,1273.17,0.0
gfx950,256,16384,768,7168,opus,9000,0,106.5368,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1693.2,1390.24,0.0
gfx950,256,32768,768,7168,opus,9000,0,201.6256,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1789.34,1441.87,0.0
gfx950,256,2048,2048,7168,opus,9000,0,89.7207,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,670.19,420.74,0.0
gfx950,256,4096,2048,7168,opus,9000,0,92.9781,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1293.41,654.1,0.0
gfx950,256,6144,2048,7168,opus,9000,0,102.4191,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1761.28,819.05,0.0
gfx950,256,8192,2048,7168,opus,9000,0,116.4462,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2065.49,918.49,0.0
gfx950,256,10240,2048,7168,opus,9000,0,192.0946,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1565.1,676.87,0.0
gfx950,256,12288,2048,7168,opus,9000,0,196.6547,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1834.57,778.48,0.0
gfx950,256,14336,2048,7168,opus,9000,0,202.216,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2081.47,871.15,0.0
gfx950,256,16384,2048,7168,opus,9000,0,213.3649,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2254.52,933.75,0.0
gfx950,256,32768,2048,7168,opus,9000,0,408.726,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2353.83,938.96,0.0
gfx950,256,2048,6144,7168,opus,9000,0,97.5007,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1850.13,860.36,0.0
gfx950,256,4096,6144,7168,opus,9000,0,188.7386,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1911.52,655.57,0.0
gfx950,256,6144,6144,7168,opus,9000,0,283.8824,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1906.3,576.22,0.0
gfx950,256,8192,6144,7168,opus,9000,0,296.2313,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2435.78,686.71,0.0
gfx950,256,10240,6144,7168,opus,9000,0,385.8977,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2337.26,630.4,0.0
gfx950,256,12288,6144,7168,opus,9000,0,474.9119,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2279.02,596.14,0.0
gfx950,256,14336,6144,7168,opus,9000,0,575.4883,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2194.17,561.2,0.0
gfx950,256,16384,6144,7168,opus,9000,0,583.2655,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2474.19,622.03,0.0
gfx950,256,20480,6144,7168,opus,9000,0,773.9428,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2330.77,571.75,0.0
gfx950,256,24576,6144,7168,opus,9000,0,867.1956,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2496.17,602.16,0.0
gfx950,256,28672,6144,7168,opus,9000,0,1066.4286,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2368.13,564.39,0.0
gfx950,256,32768,6144,7168,opus,9000,0,1168.8407,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2469.3,583.12,0.0
